,datatype,epoch,error
0,test,0,0.6499999761581421
1,train,0,0.6658415794372559
2,test,1,0.6499999761581421
3,train,1,0.6658415794372559
4,test,2,0.6499999761581421
5,train,2,0.6658415794372559
6,test,3,0.6499999761581421
7,train,3,0.6658415794372559
8,test,4,0.6499999761581421
9,train,4,0.6658415794372559
10,test,5,0.6399999856948853
11,train,5,0.6435643434524536
12,test,6,0.574999988079071
13,train,6,0.5247524976730347
14,test,7,0.574999988079071
15,train,7,0.5198019742965698
16,test,8,0.574999988079071
17,train,8,0.5247524976730347
18,test,9,0.574999988079071
19,train,9,0.5247524976730347
20,test,10,0.5699999928474426
21,train,10,0.5272276997566223
22,test,11,0.5699999928474426
23,train,11,0.5272276997566223
24,test,12,0.574999988079071
25,train,12,0.5247524976730347
26,test,13,0.5699999928474426
27,train,13,0.5272276997566223
28,test,14,0.5699999928474426
29,train,14,0.5222772359848022
30,test,15,0.47999998927116394
31,train,15,0.4752475321292877
32,test,16,0.47999998927116394
33,train,16,0.47772276401519775
34,test,17,0.4699999988079071
35,train,17,0.47029703855514526
36,test,18,0.4699999988079071
37,train,18,0.4727722704410553
38,test,19,0.4699999988079071
39,train,19,0.4727722704410553
40,test,20,0.4699999988079071
41,train,20,0.46782177686691284
42,test,21,0.4699999988079071
43,train,21,0.4628712832927704
44,test,22,0.4699999988079071
45,train,22,0.4653465449810028
46,test,23,0.48500001430511475
47,train,23,0.4653465449810028
48,test,24,0.4749999940395355
49,train,24,0.4628712832927704
50,test,25,0.4950000047683716
51,train,25,0.46039605140686035
52,test,26,0.47999998927116394
53,train,26,0.4628712832927704
54,test,27,0.4749999940395355
55,train,27,0.4628712832927704
56,test,28,0.5
57,train,28,0.45792078971862793
58,test,29,0.4950000047683716
59,train,29,0.45792078971862793
60,test,30,0.49000000953674316
61,train,30,0.46039605140686035
62,test,31,0.4749999940395355
63,train,31,0.45792078971862793
64,test,32,0.4950000047683716
65,train,32,0.45049506425857544
66,test,33,0.48500001430511475
67,train,33,0.4529702961444855
68,test,34,0.48500001430511475
69,train,34,0.448019802570343
70,test,35,0.48500001430511475
71,train,35,0.45049506425857544
72,test,36,0.49000000953674316
73,train,36,0.45049506425857544
74,test,37,0.49000000953674316
75,train,37,0.45049506425857544
76,test,38,0.49000000953674316
77,train,38,0.45049506425857544
78,test,39,0.4699999988079071
79,train,39,0.4455445408821106
80,test,40,0.4950000047683716
81,train,40,0.45049506425857544
82,test,41,0.49000000953674316
83,train,41,0.4455445408821106
84,test,42,0.49000000953674316
85,train,42,0.448019802570343
86,test,43,0.4749999940395355
87,train,43,0.448019802570343
88,test,44,0.49000000953674316
89,train,44,0.44306930899620056
90,test,45,0.49000000953674316
91,train,45,0.45049506425857544
92,test,46,0.49000000953674316
93,train,46,0.448019802570343
94,test,47,0.49000000953674316
95,train,47,0.44059404730796814
96,test,48,0.48500001430511475
97,train,48,0.4356435537338257
98,test,49,0.48500001430511475
99,train,49,0.44306930899620056
100,test,50,0.48500001430511475
101,train,50,0.4381188154220581
102,test,51,0.49000000953674316
103,train,51,0.4381188154220581
104,test,52,0.49000000953674316
105,train,52,0.44306930899620056
106,test,53,0.4950000047683716
107,train,53,0.4381188154220581
108,test,54,0.5
109,train,54,0.44059404730796814
110,test,55,0.4950000047683716
111,train,55,0.4381188154220581
112,test,56,0.4950000047683716
113,train,56,0.44059404730796814
114,test,57,0.4950000047683716
115,train,57,0.4381188154220581
116,test,58,0.4950000047683716
117,train,58,0.4356435537338257
118,test,59,0.4950000047683716
119,train,59,0.4381188154220581
120,test,60,0.49000000953674316
121,train,60,0.44306930899620056
122,test,61,0.4950000047683716
123,train,61,0.44306930899620056
124,test,62,0.49000000953674316
125,train,62,0.4381188154220581
126,test,63,0.4950000047683716
127,train,63,0.44059404730796814
128,test,64,0.49000000953674316
129,train,64,0.4356435537338257
130,test,65,0.49000000953674316
131,train,65,0.44059404730796814
132,test,66,0.49000000953674316
133,train,66,0.4356435537338257
134,test,67,0.48500001430511475
135,train,67,0.43316832184791565
136,test,68,0.4950000047683716
137,train,68,0.4306930601596832
138,test,69,0.49000000953674316
139,train,69,0.4306930601596832
140,test,70,0.48500001430511475
141,train,70,0.43316832184791565
142,test,71,0.5
143,train,71,0.43316832184791565
144,test,72,0.4950000047683716
145,train,72,0.43316832184791565
146,test,73,0.4749999940395355
147,train,73,0.43316832184791565
148,test,74,0.48500001430511475
149,train,74,0.43316832184791565
150,test,75,0.4950000047683716
151,train,75,0.4381188154220581
152,test,76,0.5
153,train,76,0.43316832184791565
154,test,77,0.4950000047683716
155,train,77,0.4306930601596832
156,test,78,0.49000000953674316
157,train,78,0.4381188154220581
158,test,79,0.4950000047683716
159,train,79,0.44306930899620056
160,test,80,0.49000000953674316
161,train,80,0.4306930601596832
162,test,81,0.4950000047683716
163,train,81,0.4282178282737732
164,test,82,0.4749999940395355
165,train,82,0.43316832184791565
166,test,83,0.4699999988079071
167,train,83,0.4356435537338257
168,test,84,0.47999998927116394
169,train,84,0.4356435537338257
170,test,85,0.47999998927116394
171,train,85,0.43316832184791565
172,test,86,0.47999998927116394
173,train,86,0.43316832184791565
174,test,87,0.4749999940395355
175,train,87,0.4356435537338257
176,test,88,0.4699999988079071
177,train,88,0.4356435537338257
178,test,89,0.47999998927116394
179,train,89,0.4356435537338257
180,test,90,0.4699999988079071
181,train,90,0.43316832184791565
182,test,91,0.4699999988079071
183,train,91,0.4306930601596832
184,test,92,0.4749999940395355
185,train,92,0.4282178282737732
186,test,93,0.4699999988079071
187,train,93,0.43316832184791565
188,test,94,0.5
189,train,94,0.42574256658554077
190,test,95,0.5299999713897705
191,train,95,0.4356435537338257
192,test,96,0.5299999713897705
193,train,96,0.4356435537338257
194,test,97,0.49000000953674316
195,train,97,0.42574256658554077
196,test,98,0.4950000047683716
197,train,98,0.4282178282737732
198,test,99,0.48500001430511475
199,train,99,0.4282178282737732
